External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 18:28:59
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	500.0	2.400	0	1.686572E-003	1.82	2.872533E-011	0.27	1.361829E-004	0.25
1	500.0	2.400	1	1.686117E-003	1.82	2.862458E-011	0.26	1.364850E-004	0.25
2	500.0	2.400	2	1.687940E-003	1.82	2.904429E-011	0.28	1.371961E-004	0.25
3	502.5	2.447	0	2.723455E-003	1.82	4.922353E-011	0.27	2.353534E-004	0.26
4	502.5	2.447	1	2.718514E-003	1.82	4.867434E-011	0.26	2.347176E-004	0.25
5	502.5	2.447	2	2.714039E-003	1.82	4.883615E-011	0.27	2.338816E-004	0.25
6	505.0	2.472	0	4.423028E-003	1.82	8.314047E-011	0.27	4.068010E-004	0.25
7	505.0	2.472	1	4.440172E-003	1.82	8.379349E-011	0.27	4.071415E-004	0.25
8	505.0	2.472	2	4.437620E-003	1.82	8.399333E-011	0.27	4.071041E-004	0.26
9	507.5	2.479	0	6.754727E-003	1.82	1.326076E-010	0.27	6.517249E-004	0.25
10	507.5	2.479	1	6.761068E-003	1.82	1.328235E-010	0.27	6.486460E-004	0.25
11	507.5	2.479	2	6.749404E-003	1.82	1.321824E-010	0.27	6.514797E-004	0.25
12	510.0	2.472	0	9.259923E-003	1.82	1.883187E-010	0.27	9.332741E-004	0.25
13	510.0	2.472	1	9.274702E-003	1.82	1.879952E-010	0.27	9.343427E-004	0.25
14	510.0	2.472	2	9.278062E-003	1.82	1.887401E-010	0.27	9.353592E-004	0.25
15	512.5	2.456	0	1.291194E-002	1.82	2.707313E-010	0.27	1.360331E-003	0.26
16	512.5	2.456	1	1.290899E-002	1.82	2.708314E-010	0.27	1.360179E-003	0.25
17	512.5	2.456	2	1.290668E-002	1.82	2.713206E-010	0.27	1.361912E-003	0.25
18	515.0	2.436	0	1.911105E-002	1.82	4.154513E-010	0.27	2.103369E-003	0.25
19	515.0	2.436	1	1.911439E-002	1.82	4.162316E-010	0.27	2.103886E-003	0.25
20	515.0	2.436	2	1.912860E-002	1.82	4.162715E-010	0.27	2.105367E-003	0.25
21	517.5	2.416	0	2.929686E-002	1.82	6.602394E-010	0.27	3.363036E-003	0.25
22	517.5	2.416	1	2.930061E-002	1.82	6.588597E-010	0.27	3.354474E-003	0.25
23	517.5	2.416	2	2.930806E-002	1.82	6.594214E-010	0.27	3.361029E-003	0.25
24	520.0	2.400	0	4.626188E-002	1.82	1.074443E-009	0.27	5.496746E-003	0.25
25	520.0	2.400	1	4.626612E-002	1.82	1.074832E-009	0.27	5.497570E-003	0.25
26	520.0	2.400	2	4.631782E-002	1.82	1.075588E-009	0.27	5.504490E-003	0.25
27	522.5	2.393	0	7.821250E-002	1.82	1.868955E-009	0.27	9.604928E-003	0.25
28	522.5	2.393	1	7.815605E-002	1.82	1.867501E-009	0.27	9.598942E-003	0.25
29	522.5	2.393	2	7.819457E-002	1.82	1.868673E-009	0.27	9.605343E-003	0.25
30	525.0	2.400	0	1.295211E-001	1.82	3.190059E-009	0.27	1.642994E-002	0.25
31	525.0	2.400	1	1.295298E-001	1.82	3.191592E-009	0.27	1.643498E-002	0.25
32	525.0	2.400	2	1.295400E-001	1.82	3.190762E-009	0.27	1.643505E-002	0.25
33	527.5	2.419	0	1.890944E-001	1.82	4.765422E-009	0.27	2.460772E-002	0.25
34	527.5	2.419	1	1.891320E-001	1.82	4.768489E-009	0.27	2.462629E-002	0.25
35	527.5	2.419	2	1.892125E-001	1.82	4.772876E-009	0.27	2.464933E-002	0.25
36	530.0	2.446	0	2.292651E-001	1.82	5.894262E-009	0.27	3.053573E-002	0.25
37	530.0	2.446	1	2.294270E-001	1.82	5.895415E-009	0.27	3.054478E-002	0.25
38	530.0	2.446	2	2.294861E-001	1.82	5.893901E-009	0.27	3.052838E-002	0.25
39	532.5	2.477	0	2.241939E-001	1.82	5.869167E-009	0.27	3.041494E-002	0.25
40	532.5	2.477	1	2.241500E-001	1.82	5.864144E-009	0.27	3.039509E-002	0.25
41	532.5	2.477	2	2.241862E-001	1.82	5.866657E-009	0.27	3.041028E-002	0.25
42	535.0	2.513	0	1.934611E-001	1.82	5.143871E-009	0.27	2.670285E-002	0.25
43	535.0	2.513	1	1.934244E-001	1.82	5.141598E-009	0.27	2.668628E-002	0.25
44	535.0	2.513	2	1.933958E-001	1.82	5.142919E-009	0.27	2.669822E-002	0.25
45	537.5	2.550	0	1.706939E-001	1.82	4.604882E-009	0.27	2.395674E-002	0.25
46	537.5	2.550	1	1.707010E-001	1.82	4.607586E-009	0.27	2.397146E-002	0.25
47	537.5	2.550	2	1.707758E-001	1.82	4.606362E-009	0.27	2.395352E-002	0.25
48	540.0	2.587	0	1.604275E-001	1.82	4.395094E-009	0.27	2.285869E-002	0.25
49	540.0	2.587	1	1.603971E-001	1.82	4.393975E-009	0.27	2.284884E-002	0.25
50	540.0	2.587	2	1.604199E-001	1.82	4.394177E-009	0.27	2.285710E-002	0.25
51	542.5	2.623	0	1.553578E-001	1.82	4.303480E-009	0.27	2.239347E-002	0.25
52	542.5	2.623	1	1.552168E-001	1.82	4.301847E-009	0.27	2.239410E-002	0.25
53	542.5	2.623	2	1.553573E-001	1.82	4.305669E-009	0.27	2.240372E-002	0.25
54	545.0	2.654	0	1.468892E-001	1.82	4.091094E-009	0.27	2.133551E-002	0.25
55	545.0	2.654	1	1.467939E-001	1.82	4.090458E-009	0.27	2.133647E-002	0.25
56	545.0	2.654	2	1.468010E-001	1.82	4.089663E-009	0.27	2.132863E-002	0.25
57	547.5	2.681	0	1.372750E-001	1.82	3.825650E-009	0.27	2.005041E-002	0.25
58	547.5	2.681	1	1.372979E-001	1.82	3.824782E-009	0.27	2.003978E-002	0.25
59	547.5	2.681	2	1.371859E-001	1.82	3.821908E-009	0.27	2.002960E-002	0.25
60	550.0	2.700	0	1.299172E-001	1.82	3.619260E-009	0.27	1.906828E-002	0.25
61	550.0	2.700	1	1.299096E-001	1.82	3.619019E-009	0.27	1.906221E-002	0.25
62	550.0	2.700	2	1.299244E-001	1.82	3.618851E-009	0.27	1.906173E-002	0.25
63	552.5	2.714	0	1.258459E-001	1.82	3.516554E-009	0.27	1.856915E-002	0.25
64	552.5	2.714	1	1.259273E-001	1.82	3.520498E-009	0.27	1.858996E-002	0.25
65	552.5	2.714	2	1.259049E-001	1.82	3.521062E-009	0.27	1.859323E-002	0.25
66	555.0	2.724	0	1.252309E-001	1.82	3.513401E-009	0.27	1.859220E-002	0.25
67	555.0	2.724	1	1.252838E-001	1.82	3.513560E-009	0.27	1.858898E-002	0.25
68	555.0	2.724	2	1.252685E-001	1.82	3.514316E-009	0.27	1.859235E-002	0.25
69	557.5	2.732	0	1.272225E-001	1.82	3.592845E-009	0.27	1.898772E-002	0.25
70	557.5	2.732	1	1.271849E-001	1.82	3.591847E-009	0.27	1.898772E-002	0.25
71	557.5	2.732	2	1.272301E-001	1.82	3.592015E-009	0.27	1.898827E-002	0.25
72	560.0	2.736	0	1.336628E-001	1.82	3.829328E-009	0.27	2.011984E-002	0.25
73	560.0	2.736	1	1.338034E-001	1.82	3.830722E-009	0.27	2.013089E-002	0.25
74	560.0	2.736	2	1.337066E-001	1.82	3.827283E-009	0.27	2.011472E-002	0.25
75	562.5	2.738	0	1.510711E-001	1.82	4.406379E-009	0.27	2.293854E-002	0.25
76	562.5	2.738	1	1.510496E-001	1.82	4.402991E-009	0.27	2.291637E-002	0.25
77	562.5	2.738	2	1.510787E-001	1.82	4.406057E-009	0.27	2.293990E-002	0.25
78	565.0	2.736	0	1.697983E-001	1.82	4.989004E-009	0.27	2.583267E-002	0.25
79	565.0	2.736	1	1.697469E-001	1.82	4.987056E-009	0.27	2.583042E-002	0.25
80	565.0	2.736	2	1.697760E-001	1.82	4.985696E-009	0.27	2.581874E-002	0.25
81	567.5	2.732	0	1.583111E-001	1.82	4.572576E-009	0.27	2.387024E-002	0.25
82	567.5	2.732	1	1.582521E-001	1.82	4.573453E-009	0.27	2.388561E-002	0.25
83	567.5	2.732	2	1.582297E-001	1.82	4.572261E-009	0.27	2.387450E-002	0.25
84	570.0	2.724	0	1.374450E-001	1.82	3.897379E-009	0.27	2.062043E-002	0.25
85	570.0	2.724	1	1.375265E-001	1.82	3.899134E-009	0.27	2.062450E-002	0.25
86	570.0	2.724	2	1.374450E-001	1.82	3.896946E-009	0.27	2.061251E-002	0.25
87	572.5	2.714	0	1.279256E-001	1.82	3.590140E-009	0.27	1.913221E-002	0.25
88	572.5	2.714	1	1.277708E-001	1.82	3.585270E-009	0.27	1.910949E-002	0.25
89	572.5	2.714	2	1.278589E-001	1.82	3.590535E-009	0.27	1.914460E-002	0.25
90	575.0	2.700	0	1.252838E-001	1.82	3.503951E-009	0.27	1.874858E-002	0.25
91	575.0	2.700	1	1.253128E-001	1.82	3.503194E-009	0.27	1.874259E-002	0.25
92	575.0	2.700	2	1.252538E-001	1.82	3.500875E-009	0.27	1.873244E-002	0.25
