External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:49:36
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.4989
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	500.0	2.400	0	2.781562E-002	1.81	4.269022E-010	0.26	2.568614E-003	0.25
1	500.0	2.400	1	2.776955E-002	1.81	4.256272E-010	0.26	2.560970E-003	0.25
2	500.0	2.400	2	2.783594E-002	1.81	4.271814E-010	0.26	2.564443E-003	0.25
3	502.5	2.447	0	3.321170E-002	1.81	5.335586E-010	0.26	3.245157E-003	0.25
4	502.5	2.447	1	3.321714E-002	1.81	5.336176E-010	0.26	3.244935E-003	0.25
5	502.5	2.447	2	3.315983E-002	1.81	5.324016E-010	0.26	3.240299E-003	0.25
6	505.0	2.472	0	4.144612E-002	1.81	6.965440E-010	0.26	4.284871E-003	0.25
7	505.0	2.472	1	4.146103E-002	1.81	6.965880E-010	0.26	4.283483E-003	0.25
8	505.0	2.472	2	4.141844E-002	1.81	6.958852E-010	0.26	4.282797E-003	0.25
9	507.5	2.479	0	5.442305E-002	1.81	9.606356E-010	0.26	5.959721E-003	0.25
10	507.5	2.479	1	5.455992E-002	1.81	9.631688E-010	0.26	5.976150E-003	0.25
11	507.5	2.479	2	5.459702E-002	1.81	9.632123E-010	0.26	5.971744E-003	0.25
12	510.0	2.472	0	7.270704E-002	1.81	1.343481E-009	0.26	8.400448E-003	0.25
13	510.0	2.472	1	7.262045E-002	1.81	1.343290E-009	0.26	8.403450E-003	0.25
14	510.0	2.472	2	7.267956E-002	1.81	1.343032E-009	0.26	8.398145E-003	0.25
15	512.5	2.456	0	9.521762E-002	1.81	1.835802E-009	0.26	1.155995E-002	0.25
16	512.5	2.456	1	9.514387E-002	1.81	1.834923E-009	0.26	1.155629E-002	0.25
17	512.5	2.456	2	9.524350E-002	1.81	1.835943E-009	0.26	1.156094E-002	0.25
18	515.0	2.436	0	1.257920E-001	1.81	2.523787E-009	0.26	1.597696E-002	0.25
19	515.0	2.436	1	1.259702E-001	1.81	2.525885E-009	0.26	1.598044E-002	0.25
20	515.0	2.436	2	1.259449E-001	1.81	2.525028E-009	0.26	1.597620E-002	0.25
21	517.5	2.416	0	1.677983E-001	1.81	3.485311E-009	0.26	2.217450E-002	0.25
22	517.5	2.416	1	1.678854E-001	1.81	3.487888E-009	0.26	2.218935E-002	0.25
