External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:20:18
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	500.0	2.400	0	2.635546E-002	1.59	4.052264E-010	0.19	1.809559E-003	0.17
1	500.0	2.400	1	2.635546E-002	1.59	4.076838E-010	0.19	1.815994E-003	0.17
2	500.0	2.400	2	2.638631E-002	1.59	4.075453E-010	0.19	1.809804E-003	0.17
3	502.5	2.447	0	3.178879E-002	1.59	5.147182E-010	0.19	2.328213E-003	0.17
4	502.5	2.447	1	3.180383E-002	1.59	5.144951E-010	0.19	2.327267E-003	0.17
5	502.5	2.447	2	3.184244E-002	1.59	5.167584E-010	0.19	2.330194E-003	0.17
6	505.0	2.472	0	3.802952E-002	1.59	6.454676E-010	0.19	2.959136E-003	0.17
7	505.0	2.472	1	3.812147E-002	1.59	6.453708E-010	0.19	2.963053E-003	0.17
8	505.0	2.472	2	3.810654E-002	1.59	6.464881E-010	0.19	2.964408E-003	0.17
9	507.5	2.479	0	4.674376E-002	1.59	8.279944E-010	0.19	3.851031E-003	0.17
10	507.5	2.479	1	4.688886E-002	1.59	8.285809E-010	0.18	3.855876E-003	0.17
11	507.5	2.479	2	4.685019E-002	1.59	8.276457E-010	0.18	3.853521E-003	0.17
12	510.0	2.472	0	6.047832E-002	1.59	1.116789E-009	0.19	5.232358E-003	0.17
13	510.0	2.472	1	6.040277E-002	1.59	1.116137E-009	0.19	5.233812E-003	0.17
14	510.0	2.472	2	6.043205E-002	1.59	1.114416E-009	0.18	5.238529E-003	0.17
15	512.5	2.456	0	8.021011E-002	1.59	1.545944E-009	0.19	7.347644E-003	0.17
16	512.5	2.456	1	8.035669E-002	1.59	1.546244E-009	0.19	7.338573E-003	0.17
17	512.5	2.456	2	8.047007E-002	1.59	1.548944E-009	0.18	7.352853E-003	0.17
18	515.0	2.436	0	1.142350E-001	1.59	2.290285E-009	0.18	1.091862E-002	0.17
19	515.0	2.436	1	1.142280E-001	1.59	2.289116E-009	0.19	1.093914E-002	0.17
20	515.0	2.436	2	1.143562E-001	1.59	2.290160E-009	0.18	1.095005E-002	0.17
21	517.5	2.416	0	1.640255E-001	1.59	3.437827E-009	0.19	1.652869E-002	0.17
22	517.5	2.416	1	1.639005E-001	1.59	3.435293E-009	0.19	1.645147E-002	0.17
23	517.5	2.416	2	1.639615E-001	1.59	3.436062E-009	0.19	1.647941E-002	0.17
24	520.0	2.400	0	2.152367E-001	1.59	4.693568E-009	0.19	2.262175E-002	0.17
25	520.0	2.400	1	2.152696E-001	1.59	4.694462E-009	0.19	2.262647E-002	0.17
26	520.0	2.400	2	2.153587E-001	1.59	4.695106E-009	0.18	2.262296E-002	0.17
27	522.5	2.393	0	2.528116E-001	1.59	5.642740E-009	0.18	2.754641E-002	0.17
28	522.5	2.393	1	2.529946E-001	1.59	5.641119E-009	0.19	2.752947E-002	0.17
