External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:24:59
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	500.0	2.400	0	2.629447E-002	1.59	4.083283E-010	0.18	1.870615E-003	0.17
1	500.0	2.400	1	2.628712E-002	1.59	4.080054E-010	0.18	1.870494E-003	0.17
2	500.0	2.400	2	2.629460E-002	1.59	4.066391E-010	0.18	1.868676E-003	0.17
3	502.5	2.447	0	3.174237E-002	1.59	5.181832E-010	0.19	2.407344E-003	0.17
4	502.5	2.447	1	3.174325E-002	1.59	5.180986E-010	0.19	2.409134E-003	0.17
5	502.5	2.447	2	3.174274E-002	1.59	5.160172E-010	0.18	2.408280E-003	0.17
6	505.0	2.472	0	3.796865E-002	1.59	6.442244E-010	0.18	3.054537E-003	0.17
7	505.0	2.472	1	3.792359E-002	1.59	6.435541E-010	0.19	3.053074E-003	0.17
8	505.0	2.472	2	3.801409E-002	1.59	6.468239E-010	0.18	3.055782E-003	0.17
9	507.5	2.479	0	4.656130E-002	1.59	8.287487E-010	0.19	3.977028E-003	0.17
10	507.5	2.479	1	4.671302E-002	1.59	8.282484E-010	0.18	3.976520E-003	0.17
11	507.5	2.479	2	4.675250E-002	1.59	8.295340E-010	0.19	3.980338E-003	0.17
12	510.0	2.472	0	6.015000E-002	1.59	1.113890E-009	0.18	5.412536E-003	0.17
13	510.0	2.472	1	6.020363E-002	1.59	1.113646E-009	0.18	5.409425E-003	0.17
14	510.0	2.472	2	6.028890E-002	1.59	1.115685E-009	0.19	5.414472E-003	0.17
15	512.5	2.456	0	8.008114E-002	1.59	1.541950E-009	0.19	7.581183E-003	0.17
16	512.5	2.456	1	8.011935E-002	1.59	1.545860E-009	0.18	7.590499E-003	0.17
17	512.5	2.456	2	8.005718E-002	1.59	1.542474E-009	0.18	7.584128E-003	0.17
18	515.0	2.436	0	1.138768E-001	1.59	2.286933E-009	0.19	1.128537E-002	0.17
19	515.0	2.436	1	1.137246E-001	1.59	2.285212E-009	0.19	1.128415E-002	0.17
20	515.0	2.436	2	1.138075E-001	1.59	2.286474E-009	0.19	1.127879E-002	0.17
21	517.5	2.416	0	1.631086E-001	1.59	3.428005E-009	0.19	1.700688E-002	0.17
22	517.5	2.416	1	1.631977E-001	1.59	3.427444E-009	0.18	1.701143E-002	0.17
23	517.5	2.416	2	1.631086E-001	1.59	3.426549E-009	0.19	1.700753E-002	0.17
24	520.0	2.400	0	2.141393E-001	1.59	4.677083E-009	0.18	2.336512E-002	0.17
25	520.0	2.400	1	2.141388E-001	1.59	4.677501E-009	0.19	2.336765E-002	0.17
26	520.0	2.400	2	2.141078E-001	1.59	4.678229E-009	0.18	2.335796E-002	0.17
