Scan no.,FWHM (eV),ΔFWHM (meV),E_res (eV),ΔE_res (meV),Height of peak maxima (a.u.)
Scan 1,0.12993618567689946,0.0,1.7328007445749658,0.0,0.032675123527882655
Scan 2,0.17241402713241039,42.47784145551093,1.7324058038962484,-0.3949406787173704,0.024090405288068953
Scan 3,0.14632884071781493,16.39265504091547,1.7387450673003015,5.944322725335738,0.0338458459928086
Scan 4,0.14628039617173139,16.344210494831923,1.7507335495329517,17.93280495798588,0.03125642397726799
Scan 5,0.1416890193119471,11.752833635047644,1.750017338721421,17.216594146455265,0.03627968822665671
Scan 6,0.1516528937831354,21.716708106235938,1.7614161021708237,28.615357595857873,0.031870028203601714
Scan 7,0.13292846884233445,2.9922831654349835,1.7672902677223623,34.489523147396504,0.02990833326117889
Scan 8,0.13943924103741923,9.503055360519763,1.7783549072429659,45.55416266800005,0.03884863532755518
Scan 9,0.15314493794553563,23.208752268636168,1.7973587721396556,64.55802756468975,0.0346533867882743
Scan 10,0.13718875137081188,7.252565693912416,1.8070898143038,74.2890697288341,0.04033586496939571
