External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 17:51:47
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.982
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	0	500.0	2.400	0	1.702923E-003	1.83	2.920638E-011	0.27	1.374414E-004	0.25
1	0	500.0	2.400	1	1.701419E-003	1.83	2.930675E-011	0.29	1.373898E-004	0.26
2	0	500.0	2.400	2	1.697812E-003	1.82	2.880253E-011	0.27	1.377048E-004	0.26
3	0	502.5	2.447	0	2.746212E-003	1.82	4.907436E-011	0.27	2.366151E-004	0.25
4	0	502.5	2.447	1	2.741355E-003	1.82	4.959540E-011	0.27	2.373223E-004	0.25
5	0	502.5	2.447	2	2.751476E-003	1.82	9.194292E-011	1.16	2.370152E-004	0.25
6	0	505.0	2.472	0	4.478674E-003	1.82	8.468599E-011	0.27	4.105276E-004	0.25
7	0	505.0	2.472	1	4.478383E-003	1.82	8.482469E-011	0.27	4.119620E-004	0.25
8	0	505.0	2.472	2	4.454766E-003	1.82	8.415771E-011	0.27	4.091478E-004	0.25
9	0	507.5	2.479	0	6.791502E-003	1.83	1.334256E-010	0.27	6.530158E-004	0.25
10	0	507.5	2.479	1	6.783895E-003	1.83	1.331539E-010	0.27	6.546716E-004	0.25
11	0	507.5	2.479	2	6.774892E-003	1.82	1.331503E-010	0.27	6.552866E-004	0.25
12	0	510.0	2.472	0	9.296137E-003	1.82	1.892060E-010	0.26	9.402066E-004	0.25
13	0	510.0	2.472	1	9.295225E-003	1.82	1.889416E-010	0.27	9.385037E-004	0.26
14	0	510.0	2.472	2	9.304126E-003	1.82	1.897469E-010	0.27	9.404155E-004	0.25
15	0	512.5	2.456	0	1.293760E-002	1.82	2.727942E-010	0.27	1.368101E-003	0.25
16	0	512.5	2.456	1	1.294281E-002	1.82	2.723928E-010	0.27	1.368402E-003	0.25
17	0	512.5	2.456	2	1.294888E-002	1.82	2.729109E-010	0.27	1.371721E-003	0.25
18	0	515.0	2.436	0	1.918043E-002	1.82	4.176089E-010	0.27	2.114594E-003	0.25
19	0	515.0	2.436	1	1.916466E-002	1.82	4.172933E-010	0.27	2.115612E-003	0.25
20	0	515.0	2.436	2	1.914576E-002	1.82	4.177674E-010	0.27	2.113923E-003	0.26
21	0	517.5	2.416	0	2.939769E-002	1.82	6.633374E-010	0.27	3.380499E-003	0.25
22	0	517.5	2.416	1	2.940006E-002	1.82	6.630926E-010	0.27	3.376951E-003	0.25
