External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:15:39
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corrloopback'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	200 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	5 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	5 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
0	0	500.0	2.400	0	2.764175E-002	1.81	4.237524E-010	0.26	2.497422E-003	0.25
1	0	500.0	2.400	1	2.767138E-002	1.81	4.235331E-010	0.26	2.499730E-003	0.25
2	0	500.0	2.400	2	2.767117E-002	1.81	3.558676E-010	0.43	2.508423E-003	0.25
3	0	502.5	2.447	0	3.302829E-002	1.81	5.280685E-010	0.26	3.166127E-003	0.25
4	0	502.5	2.447	1	3.299503E-002	1.81	5.276303E-010	0.26	3.163164E-003	0.25
5	0	502.5	2.447	2	3.305791E-002	1.81	5.288880E-010	0.26	3.169491E-003	0.25
6	0	505.0	2.472	0	4.123528E-002	1.81	6.910379E-010	0.26	4.178247E-003	0.25
7	0	505.0	2.472	1	4.123492E-002	1.81	6.913170E-010	0.26	4.184859E-003	0.25
8	0	505.0	2.472	2	4.126658E-002	1.81	6.918576E-010	0.26	4.189583E-003	0.25
9	0	507.5	2.479	0	5.423612E-002	1.81	9.549525E-010	0.26	5.828325E-003	0.25
10	0	507.5	2.479	1	5.432293E-002	1.81	9.568443E-010	0.26	5.838210E-003	0.25
11	0	507.5	2.479	2	5.426019E-002	1.81	9.555960E-010	0.26	5.848448E-003	0.25
12	0	510.0	2.472	0	7.247041E-002	1.81	1.336232E-009	0.26	8.235981E-003	0.25
13	0	510.0	2.472	1	7.245022E-002	1.81	1.335996E-009	0.26	8.227172E-003	0.25
14	0	510.0	2.472	2	7.247020E-002	1.81	1.336947E-009	0.26	8.245014E-003	0.25
15	0	512.5	2.456	0	9.486024E-002	1.81	1.826131E-009	0.26	1.132065E-002	0.25
16	0	512.5	2.456	1	9.495693E-002	1.81	1.827711E-009	0.26	1.133057E-002	0.25
17	0	512.5	2.456	2	9.505645E-002	1.81	1.828278E-009	0.26	1.133759E-002	0.25
18	0	515.0	2.436	0	1.255351E-001	1.81	2.511980E-009	0.26	1.564216E-002	0.25
19	0	515.0	2.436	1	1.255424E-001	1.81	2.511369E-009	0.26	1.563253E-002	0.25
20	0	515.0	2.436	2	1.256088E-001	1.81	2.512647E-009	0.26	1.562994E-002	0.25
21	0	517.5	2.416	0	1.674053E-001	1.81	3.470343E-009	0.26	2.169337E-002	0.25
22	0	517.5	2.416	1	1.673763E-001	1.81	3.470433E-009	0.26	2.171057E-002	0.25
23	0	517.5	2.416	2	1.673606E-001	1.81	3.469192E-009	0.26	2.169244E-002	0.25
24	0	520.0	2.400	0	2.290908E-001	1.81	4.921028E-009	0.26	3.088536E-002	0.25
25	0	520.0	2.400	1	2.292395E-001	1.81	4.921591E-009	0.26	3.084496E-002	0.25
26	0	520.0	2.400	2	2.291210E-001	1.81	4.919478E-009	0.26	3.086516E-002	0.25
27	0	522.5	2.393	0	3.262615E-001	1.81	7.244691E-009	0.26	4.556824E-002	0.25
28	0	522.5	2.393	1	3.263219E-001	1.81	7.246059E-009	0.26	4.561934E-002	0.25
29	0	522.5	2.393	2	3.264174E-001	1.81	7.248090E-009	0.26	4.561180E-002	0.25
30	0	525.0	2.400	0	4.371333E-001	1.81	9.962986E-009	0.26	6.293421E-002	0.25
31	0	525.0	2.400	1	4.371600E-001	1.81	9.962816E-009	0.26	6.293071E-002	0.25
32	0	525.0	2.400	2	4.370862E-001	1.81	9.963564E-009	0.26	6.304628E-002	0.25
33	0	527.5	2.419	0	4.856439E-001	1.81	1.130848E-008	0.26	7.173144E-002	0.25
34	0	527.5	2.419	1	4.861166E-001	1.81	1.131988E-008	0.26	7.186679E-002	0.25
35	0	527.5	2.419	2	4.861166E-001	1.81	1.131511E-008	0.26	7.180633E-002	0.25
36	0	530.0	2.446	0	4.409660E-001	1.81	1.040335E-008	0.26	6.632284E-002	0.25
37	0	530.0	2.446	1	4.407158E-001	1.81	1.040520E-008	0.26	6.642065E-002	0.25
38	0	530.0	2.446	2	4.405515E-001	1.81	1.040193E-008	0.26	6.634019E-002	0.25
39	0	532.5	2.477	0	3.550319E-001	1.81	8.478724E-009	0.26	5.443676E-002	0.25
40	0	532.5	2.477	1	3.549581E-001	1.81	8.475955E-009	0.26	5.448468E-002	0.25
41	0	532.5	2.477	2	3.550766E-001	1.81	8.477372E-009	0.26	5.442628E-002	0.25
42	0	535.0	2.513	0	2.768998E-001	1.81	6.686482E-009	0.26	4.320913E-002	0.25
43	0	535.0	2.513	1	2.768696E-001	1.81	6.683501E-009	0.26	4.313038E-002	0.25
44	0	535.0	2.513	2	2.769289E-001	1.81	6.685901E-009	0.26	4.316300E-002	0.25
45	0	537.5	2.550	0	2.337468E-001	1.81	5.714013E-009	0.26	3.701499E-002	0.25
46	0	537.5	2.550	1	2.335098E-001	1.81	5.710734E-009	0.26	3.704355E-002	0.25
47	0	537.5	2.550	2	2.334360E-001	1.81	5.707635E-009	0.26	3.695479E-002	0.25
48	0	540.0	2.587	0	2.213710E-001	1.81	5.492331E-009	0.26	3.563832E-002	0.25
49	0	540.0	2.587	1	2.212828E-001	1.81	5.490038E-009	0.26	3.560012E-002	0.25
50	0	540.0	2.587	2	2.211195E-001	1.81	5.482372E-009	0.26	3.550388E-002	0.25
51	0	542.5	2.623	0	2.305344E-001	1.81	5.816196E-009	0.26	3.762368E-002	0.25
52	0	542.5	2.623	1	2.306081E-001	1.81	5.815960E-009	0.26	3.765034E-002	0.25
53	0	542.5	2.623	2	2.305489E-001	1.81	5.813796E-009	0.26	3.759964E-002	0.25
54	0	545.0	2.654	0	2.576252E-001	1.81	6.639564E-009	0.26	4.284379E-002	0.25
55	0	545.0	2.654	1	2.576252E-001	1.81	6.639092E-009	0.26	4.285394E-002	0.25
56	0	545.0	2.654	2	2.574922E-001	1.81	6.634698E-009	0.26	4.279562E-002	0.25
57	0	547.5	2.681	0	2.559957E-001	1.81	6.665569E-009	0.26	4.301848E-002	0.25
58	0	547.5	2.681	1	2.559220E-001	1.81	6.668205E-009	0.26	4.305366E-002	0.25
59	0	547.5	2.681	2	2.560405E-001	1.81	6.667563E-009	0.26	4.301115E-002	0.25
60	0	550.0	2.700	0	2.195949E-001	1.81	5.662167E-009	0.26	3.688336E-002	0.25
61	0	550.0	2.700	1	2.192697E-001	1.81	5.659232E-009	0.26	3.689834E-002	0.25
62	0	550.0	2.700	2	2.192394E-001	1.81	5.655716E-009	0.26	3.685842E-002	0.25
63	0	552.5	2.714	0	2.025112E-001	1.81	5.194886E-009	0.26	3.415123E-002	0.25
64	0	552.5	2.714	1	2.024520E-001	1.81	5.192957E-009	0.26	3.412636E-002	0.25
65	0	552.5	2.714	2	2.025112E-001	1.81	5.196644E-009	0.26	3.416989E-002	0.25
66	0	555.0	2.724	0	1.975070E-001	1.81	5.070924E-009	0.26	3.351943E-002	0.25
67	0	555.0	2.724	1	1.974188E-001	1.81	5.071160E-009	0.26	3.350193E-002	0.25
68	0	555.0	2.724	2	1.976713E-001	1.81	5.073090E-009	0.26	3.353328E-002	0.25
69	0	557.5	2.732	0	1.944734E-001	1.81	5.012219E-009	0.26	3.322056E-002	0.25
70	0	557.5	2.732	1	1.945774E-001	1.81	5.011983E-009	0.26	3.320111E-002	0.25
71	0	557.5	2.732	2	1.946064E-001	1.81	5.014681E-009	0.26	3.322156E-002	0.25
72	0	560.0	2.736	0	1.900025E-001	1.81	4.918719E-009	0.26	3.260453E-002	0.25
73	0	560.0	2.736	1	1.899432E-001	1.81	4.913616E-009	0.26	3.256829E-002	0.25
74	0	560.0	2.736	2	1.899432E-001	1.81	4.916253E-009	0.26	3.259703E-002	0.25
75	0	562.5	2.738	0	1.877669E-001	1.81	4.878994E-009	0.26	3.237133E-002	0.25
76	0	562.5	2.738	1	1.878261E-001	1.81	4.877236E-009	0.26	3.234256E-002	0.25
77	0	562.5	2.738	2	1.877669E-001	1.81	4.877708E-009	0.26	3.233347E-002	0.25
78	0	565.0	2.736	0	1.967380E-001	1.81	5.126588E-009	0.26	3.403121E-002	0.25
79	0	565.0	2.736	1	1.967380E-001	1.81	5.123821E-009	0.26	3.402452E-002	0.25
80	0	565.0	2.736	2	1.967380E-001	1.81	5.124357E-009	0.26	3.400706E-002	0.25
81	0	567.5	2.732	0	2.147685E-001	1.81	5.611672E-009	0.26	3.727681E-002	0.25
82	0	567.5	2.732	1	2.150793E-001	1.81	5.617172E-009	0.26	3.728401E-002	0.25
83	0	567.5	2.732	2	2.150055E-001	1.81	5.617408E-009	0.26	3.729804E-002	0.25
84	0	570.0	2.724	0	2.326212E-001	1.81	6.094422E-009	0.26	4.042985E-002	0.25
85	0	570.0	2.724	1	2.324290E-001	1.81	6.091657E-009	0.26	4.043807E-002	0.25
86	0	570.0	2.724	2	2.324290E-001	1.81	6.088271E-009	0.26	4.038549E-002	0.25
87	0	572.5	2.714	0	2.445532E-001	1.81	6.417171E-009	0.26	4.257445E-002	0.25
88	0	572.5	2.714	1	2.445677E-001	1.81	6.417976E-009	0.26	4.258819E-002	0.25
89	0	572.5	2.714	2	2.444940E-001	1.81	6.418513E-009	0.26	4.256710E-002	0.25
90	0	575.0	2.700	0	2.543672E-001	1.81	6.681035E-009	0.26	4.432588E-002	0.25
91	0	575.0	2.700	1	2.543526E-001	1.81	6.677393E-009	0.26	4.433407E-002	0.25
92	0	575.0	2.700	2	2.543672E-001	1.81	6.678571E-009	0.26	4.432852E-002	0.25
93	0	577.5	2.684	0	2.632655E-001	1.81	6.921467E-009	0.26	4.591344E-002	0.25
94	0	577.5	2.684	1	2.632655E-001	1.81	6.925218E-009	0.26	4.594597E-002	0.25
95	0	577.5	2.684	2	2.632800E-001	1.81	6.921467E-009	0.26	4.591527E-002	0.25
96	0	580.0	2.664	0	2.695573E-001	1.81	7.100392E-009	0.26	4.701629E-002	0.25
97	0	580.0	2.664	1	2.694980E-001	1.81	7.101210E-009	0.26	4.704679E-002	0.25
98	0	580.0	2.664	2	2.695428E-001	1.81	7.099923E-009	0.26	4.700793E-002	0.25
99	0	582.5	2.642	0	2.723987E-001	1.81	7.194367E-009	0.26	4.752699E-002	0.25
100	0	582.5	2.642	1	2.724579E-001	1.81	7.195953E-009	0.26	4.751962E-002	0.25
101	0	582.5	2.642	2	2.723539E-001	1.81	7.195246E-009	0.26	4.753067E-002	0.25
102	0	585.0	2.616	0	2.824361E-001	1.81	7.495499E-009	0.26	4.931453E-002	0.25
103	0	585.0	2.616	1	2.824506E-001	1.81	7.497149E-009	0.26	4.931092E-002	0.25
104	0	585.0	2.616	2	2.824809E-001	1.81	7.493741E-009	0.26	4.929875E-002	0.25
105	0	587.5	2.588	0	3.353885E-001	1.81	9.058829E-009	0.26	5.896157E-002	0.25
106	0	587.5	2.588	1	3.353438E-001	1.81	9.061124E-009	0.26	5.894778E-002	0.25
